category_id,name,subtitle,icon_key,budget_amount,rate_min,rate_max,audience_segments,rule_id,status,avg_cb_percent,clients_with_category
03ee1908-7f35-47bc-b3a1-e69815e46378,Duty Free,Кэшбэк за покупки в категории «Duty Free»,retail,100,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
53112d75-18bd-49f1-a900-eb39908e0c89,Авиабилеты,Кэшбэк за покупки в категории «Авиабилеты»,services,107,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
8dbae566-8b87-461e-b33a-a9b874550ee1,Автосалоны,Кэшбэк за покупки в категории «Автосалоны»,auto,113,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
dcd7393e-d10d-442d-afa7-778f1cd02b21,Автоуслуги,Кэшбэк за покупки в категории «Автоуслуги»,auto,120,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
3fc438c5-4b9d-485a-ac9b-3afcd5af0dcf,Аптеки,Кэшбэк за покупки в категории «Аптеки»,pharma,126,3,15,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
e6e39449-01a9-421b-9b4b-48d8c1e56520,Гаджеты и техника,Кэшбэк за покупки в категории «Гаджеты и техника»,tech,133,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
dbbda43d-3e5b-410f-8525-23bd3b4a5b71,Госуслуги,Кэшбэк за покупки в категории «Госуслуги»,services,139,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
92e58616-2186-4989-b5cc-9368dd92b2c8,Детские товары,Кэшбэк за покупки в категории «Детские товары»,retail,145,3,15,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
d6b8ebfb-d899-44cb-891b-9e42b4ddc8ca,Другое,Кэшбэк за покупки в категории «Другое»,all,152,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
5a21bda2-8c17-4309-b2b7-4043df5836d1,Ж/д билеты,Кэшбэк за покупки в категории «Ж/д билеты»,services,158,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
a6201a39-5c84-46f2-95f1-35a5259af5c5,ЖКХ,Кэшбэк за покупки в категории «ЖКХ»,services,165,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
9b64eb80-f510-42b0-b920-ac381b65b9d0,Животные,Кэшбэк за покупки в категории «Животные»,retail,171,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
68f3609a-c4f2-4ead-973d-95fdd7a4a07b,Заправки,Кэшбэк за покупки в категории «Заправки»,auto,177,3,15,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
e727e603-18f9-457e-b1b0-f5e0bceff98b,Интернет,Кэшбэк за покупки в категории «Интернет»,services,184,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
212eba95-e440-4847-abb3-cd90fc71caf5,Искусство,Кэшбэк за покупки в категории «Искусство»,games,190,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
ded70696-0847-4cbb-80a1-b0717df3442f,Каршеринг,Кэшбэк за покупки в категории «Каршеринг»,auto,197,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
bc5a70ec-e199-47b3-988f-be6019f6be1c,Кино,Кэшбэк за покупки в категории «Кино»,games,203,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
3ddc9b9a-53a2-434b-adc2-27fb087cacd3,Книги и канцтовары,Кэшбэк за покупки в категории «Книги и канцтовары»,gifts,210,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
17d6dcfb-3e51-4577-a236-fb5f8e0d6fe6,Красота,Кэшбэк за покупки в категории «Красота»,beauty,216,3,10,"[""mass""]",a0000000-0000-0000-0000-000000000001,active,,
