client_id,soc_dem___age_bucket,soc_dem___gender_cd,soc_dem___income_bucket
31471,<=25,cat_4,<=30k
58714,46-55,cat_4,250k+
163014,65+,cat_6,60-100k
93887,<=25,cat_4,100-150k
27474,36-45,cat_6,100-150k
127364,<=25,cat_4,60-100k
8720,<=25,cat_6,<=30k
67054,26-35,cat_4,100-150k
5636,36-45,cat_6,150-250k
50776,<=25,cat_4,150-250k
14402,36-45,cat_4,150-250k
143457,36-45,cat_4,60-100k
125420,36-45,cat_4,150-250k
16112,26-35,cat_6,150-250k
20629,26-35,cat_6,250k+
48857,46-55,cat_4,30-60k
71264,26-35,cat_4,60-100k
161399,26-35,cat_6,250k+
94213,<=25,cat_4,60-100k
36260,46-55,cat_4,100-150k
91907,26-35,cat_6,100-150k
7402,<=25,cat_6,250k+
159564,36-45,cat_6,60-100k
138650,46-55,cat_4,100-150k
31491,36-45,cat_4,60-100k
88291,26-35,cat_6,30-60k
57164,26-35,cat_4,30-60k
71384,<=25,cat_4,100-150k
36284,36-45,cat_6,100-150k
34973,26-35,cat_6,100-150k
115528,36-45,cat_4,60-100k
99357,<=25,cat_4,<=30k
5545,36-45,cat_4,100-150k
44989,<=25,cat_4,<=30k
3978,<=25,cat_6,30-60k
79000,46-55,cat_4,150-250k
126267,36-45,cat_4,60-100k
84793,46-55,cat_6,150-250k
132771,<=25,cat_6,30-60k
163942,56-65,cat_6,<=30k
155035,26-35,cat_4,60-100k
52962,26-35,cat_6,250k+
85825,26-35,cat_6,100-150k
159018,26-35,cat_4,30-60k
10088,26-35,cat_6,30-60k
79859,36-45,cat_6,250k+
7408,46-55,cat_6,60-100k
89313,36-45,cat_6,60-100k
166503,<=25,cat_6,30-60k
122082,36-45,cat_4,150-250k
52649,<=25,cat_4,<=30k
145806,<=25,cat_4,60-100k
82960,56-65,cat_4,60-100k
87586,36-45,cat_4,60-100k
162596,36-45,cat_4,30-60k
131723,36-45,cat_4,30-60k
135915,<=25,cat_6,60-100k
15936,26-35,cat_4,60-100k
166691,<=25,cat_6,60-100k
133459,<=25,cat_6,<=30k
14801,36-45,cat_6,30-60k
18275,65+,cat_4,60-100k
51551,36-45,cat_4,60-100k
83028,26-35,cat_4,100-150k
69398,36-45,cat_6,60-100k
57018,36-45,cat_6,30-60k
45814,<=25,cat_6,30-60k
50380,26-35,cat_4,<=30k
97353,26-35,cat_6,100-150k
6167,46-55,cat_4,60-100k
14508,26-35,cat_6,<=30k
66409,26-35,cat_4,150-250k
112479,46-55,cat_6,100-150k
74296,46-55,cat_4,250k+
78993,46-55,cat_6,60-100k
150300,46-55,cat_6,30-60k
144890,36-45,cat_4,30-60k
75255,46-55,cat_4,60-100k
158944,36-45,cat_6,250k+
146901,26-35,cat_4,60-100k
146954,<=25,cat_4,150-250k
19761,26-35,cat_4,150-250k
123948,<=25,cat_4,60-100k
11476,26-35,cat_6,150-250k
126519,26-35,cat_4,60-100k
36760,36-45,cat_4,60-100k
68390,26-35,cat_4,60-100k
91044,46-55,cat_6,60-100k
1451,56-65,cat_6,150-250k
84015,26-35,cat_4,100-150k
125637,26-35,cat_4,100-150k
114405,<=25,cat_4,<=30k
47155,36-45,cat_6,60-100k
163781,46-55,cat_4,30-60k
86848,36-45,cat_4,60-100k
99420,36-45,cat_4,60-100k
155674,26-35,cat_4,150-250k
89071,56-65,cat_6,60-100k
126377,<=25,cat_4,<=30k
33280,46-55,cat_6,30-60k
80736,<=25,cat_6,60-100k
80721,<=25,cat_4,60-100k
138377,26-35,cat_6,150-250k
156991,36-45,cat_6,60-100k
158177,36-45,cat_4,60-100k
17505,36-45,cat_6,60-100k
52715,26-35,cat_6,150-250k
71335,<=25,cat_6,60-100k
139598,36-45,cat_6,100-150k
73088,<=25,cat_4,60-100k
51653,26-35,cat_4,60-100k
151900,26-35,cat_6,30-60k
151613,36-45,cat_4,100-150k
88681,36-45,cat_4,60-100k
73303,<=25,cat_4,60-100k
88200,26-35,cat_4,<=30k
44494,46-55,cat_4,30-60k
29323,26-35,cat_4,30-60k
71895,26-35,cat_6,250k+
166007,46-55,cat_4,<=30k
32255,36-45,cat_4,100-150k
136822,26-35,cat_6,100-150k
96222,36-45,cat_4,150-250k
861,36-45,cat_4,<=30k
72500,36-45,cat_6,<=30k
77485,36-45,cat_4,60-100k
26102,65+,cat_6,60-100k
88703,<=25,cat_6,60-100k
61510,26-35,cat_6,60-100k
78524,36-45,cat_6,60-100k
46064,26-35,cat_4,100-150k
61244,26-35,cat_4,30-60k
28590,36-45,cat_6,60-100k
103129,<=25,cat_6,<=30k
79287,36-45,cat_4,30-60k
68662,<=25,cat_4,60-100k
159665,46-55,cat_6,250k+
67086,36-45,cat_4,150-250k
22120,26-35,cat_4,30-60k
21085,36-45,cat_4,30-60k
138524,<=25,cat_6,30-60k
110893,36-45,cat_6,100-150k
60769,26-35,cat_4,150-250k
126069,<=25,cat_4,60-100k
40652,36-45,cat_6,60-100k
52505,26-35,cat_4,60-100k
51620,26-35,cat_4,60-100k
44023,36-45,cat_6,60-100k
92281,26-35,cat_4,60-100k
132823,26-35,cat_6,60-100k
70989,26-35,cat_4,60-100k
1411,36-45,cat_6,250k+
56626,26-35,cat_4,30-60k
163190,26-35,cat_4,60-100k
91655,36-45,cat_6,30-60k
167734,26-35,cat_4,<=30k
162685,65+,cat_6,60-100k
107470,65+,cat_4,60-100k
126792,36-45,cat_6,30-60k
26403,<=25,cat_4,60-100k
159278,36-45,cat_4,60-100k
99304,46-55,cat_4,100-150k
67445,26-35,cat_4,60-100k
151029,<=25,cat_6,60-100k
99060,<=25,cat_6,30-60k
77975,26-35,cat_4,60-100k
10204,26-35,cat_4,60-100k
40242,<=25,cat_6,150-250k
149953,36-45,cat_4,30-60k
63633,26-35,cat_6,150-250k
81528,26-35,cat_4,60-100k
160480,46-55,cat_4,250k+
100434,36-45,cat_4,100-150k
18725,<=25,cat_6,60-100k
125290,46-55,cat_4,150-250k
80013,46-55,cat_6,60-100k
60095,<=25,cat_6,<=30k
104217,26-35,cat_4,150-250k
161638,26-35,cat_4,150-250k
87134,26-35,cat_4,60-100k
30803,26-35,cat_4,60-100k
73920,<=25,cat_4,60-100k
123453,26-35,cat_4,60-100k
136913,46-55,cat_4,30-60k
49660,26-35,cat_4,60-100k
137987,46-55,cat_4,250k+
107409,26-35,cat_6,60-100k
32976,26-35,cat_6,60-100k
114817,36-45,cat_4,<=30k
57469,26-35,cat_4,30-60k
35064,36-45,cat_6,250k+
158773,46-55,cat_4,30-60k
1532,<=25,cat_6,30-60k
52057,36-45,cat_6,60-100k
106766,36-45,cat_4,60-100k
13624,26-35,cat_6,150-250k
157835,36-45,cat_4,60-100k
19727,26-35,cat_4,250k+
26298,36-45,cat_4,100-150k
41146,36-45,cat_6,150-250k
103696,<=25,cat_4,30-60k
56194,26-35,cat_4,30-60k
48110,36-45,cat_4,60-100k
56142,<=25,cat_4,<=30k
12332,36-45,cat_4,100-150k
42224,26-35,cat_4,30-60k
115636,36-45,cat_6,250k+
52365,26-35,cat_6,60-100k
44631,36-45,cat_4,100-150k
9889,36-45,cat_6,60-100k
41620,36-45,cat_4,250k+
13565,36-45,cat_6,60-100k
101613,<=25,cat_4,30-60k
122157,46-55,cat_4,60-100k
35045,<=25,cat_6,<=30k
14912,<=25,cat_4,60-100k
108483,36-45,cat_4,250k+
124980,36-45,cat_4,60-100k
61025,36-45,cat_4,60-100k
39583,46-55,cat_4,30-60k
107922,26-35,cat_4,100-150k
33220,36-45,cat_6,30-60k
32296,36-45,cat_4,30-60k
62295,36-45,cat_4,60-100k
2729,36-45,cat_4,60-100k
164524,46-55,cat_4,60-100k
161135,36-45,cat_4,250k+
156205,<=25,cat_4,150-250k
99531,<=25,cat_4,30-60k
23098,26-35,cat_6,60-100k
11194,<=25,cat_6,30-60k
104503,<=25,cat_4,150-250k
143973,26-35,cat_6,60-100k
110318,36-45,cat_6,30-60k
64726,<=25,cat_6,30-60k
109587,<=25,cat_6,150-250k
24601,56-65,cat_4,<=30k
50126,26-35,cat_4,100-150k
